,actor_number,lead_actor
0,0,Eric Roberts
1,1,Nicolas Cage
2,2,Adam Sandler
3,3,Danny Trejo
4,4,James Franco
5,5,0
6,6,Sean Patrick Flanery
7,7,Will Ferrell
8,8,Tom Sizemore
9,9,John Schneider
10,10,Steve Carell
11,11,Michael Madsen
12,12,Matthew McConaughey
13,13,Kevin Sorbo
14,14,Tony Todd
15,15,Dean Cain
16,16,Cuba Gooding Jr.
17,17,Robert De Niro
18,18,Lance Henriksen
19,19,Anna Kendrick
20,20,Tyler Perry
21,21,Jason Bateman
22,22,Paul Rudd
23,23,Samuel L. Jackson
24,24,Mark Wahlberg
25,25,Justin Long
26,26,Ryan Reynolds
27,27,Luke Goss
28,28,Joseph Gordon-Levitt
29,29,Bill Oberst Jr.
30,30,Sean Astin
31,31,Vince Vaughn
32,32,C. Thomas Howell
33,33,Casper Van Dien
34,34,Jake Gyllenhaal
35,35,Patrick Wilson
36,36,Sandra Bullock
37,37,Ben Affleck
38,38,Malcolm McDowell
39,39,Michael Biehn
40,40,Bill Moseley
41,41,Dwayne Johnson
42,42,Owen Wilson
43,43,Gerard Butler
44,44,Robert Downey Jr.
45,45,Reese Witherspoon
46,46,Kate Beckinsale
47,47,Josh Duhamel
48,48,Bella Thorne
49,49,Jason London
50,50,Jesse Eisenberg
51,51,Shia LaBeouf
52,52,Michael Shannon
53,53,Mischa Barton
54,54,David A.R. White
55,55,Dolph Lundgren
56,56,Kevin Costner
57,57,Ryan Gosling
58,58,Jason Statham
59,59,Billy Zane
60,60,Robert Loggia
61,61,Jamie Foxx
62,62,David Arquette
63,63,Stephen Dorff
64,64,Steven Seagal
65,65,Wes Bentley
66,66,Cameron Diaz
67,67,Felissa Rose
68,68,Amber Benson
69,69,Sean Young
70,70,Chris Hemsworth
71,71,Tiffany Shepis
72,72,Michael Jai White
73,73,Josh Stewart
74,74,Woody Harrelson
75,75,Melissa Leo
76,76,Katrina Bowden
77,77,George Katt
78,78,Channing Tatum
79,79,Brian Krause
80,80,Will Smith
81,81,Chris Evans
82,82,Michael Paré
83,83,Nick Stahl
84,84,Seann William Scott
85,85,Edward Furlong
86,86,Greta Gerwig
87,87,Johnny Messner
88,88,Kristen Bell
89,89,Bill Corbett
90,90,Chris Messina
91,91,Val Kilmer
92,92,Denzel Washington
93,93,John Cusack
94,94,Scout Taylor-Compton
95,95,Seth Rogen
96,96,Thomas Jane
97,97,Jeff Bridges
98,98,Armand Assante
99,99,Alec Baldwin
100,100,Bruce Willis
101,101,Ben Stiller
102,102,Luke Wilson
103,103,Richard Gere
104,104,Jennifer Lawrence
105,105,Juno Temple
106,106,Michael Douglas
107,107,Malin Akerman
108,108,Clayne Crawford
109,109,Marguerite Moreau
110,110,Jessica Rothe
111,111,Jesse Metcalfe
112,112,Johnny Depp
113,113,Ice Cube
114,114,Brandon Routh
115,115,Chris Pine
116,116,Kristen Stewart
117,117,Jeremy London
118,118,Richard Tyson
119,119,John Savage
120,120,Mark Webber
121,121,Robert Miano
122,122,Ray Wise
123,123,Mark Duplass
124,124,Sam Rockwell
125,125,Vivica A. Fox
126,126,Kyle Gallner
127,127,Matt Damon
128,128,Danielle Harris
129,129,Joe Swanberg
130,130,Katherine Heigl
131,131,Diane Keaton
132,132,Fran Kranz
133,133,Luke Perry
134,134,John Travolta
135,135,Jonathan Bennett
136,136,Lexi Giovagnoli
137,137,Josh Lucas
138,138,Jack Black
139,139,Zac Efron
140,140,Analeigh Tipton
141,141,Keanu Reeves
142,142,Jim Caviezel
143,143,Michelle Monaghan
144,144,Dakota Fanning
145,145,Barry Bostwick
146,146,Tom Hanks
147,147,Adrien Brody
148,148,Ving Rhames
149,149,Nat Wolff
150,150,Liam Hemsworth
151,151,Stephen Baldwin
152,152,Dennis Quaid
153,153,Russell Crowe
154,154,Kevin James
155,155,Kate Lyn Sheil
156,156,Aubrey Plaza
157,157,Milo Ventimiglia
158,158,Morgan Freeman
159,159,Tara Reid
160,160,Sean Faris
161,161,George Clooney
162,162,Jake Johnson
163,163,Brad Dourif
164,164,Eric Balfour
165,165,Natalie Portman
166,166,Meryl Streep
167,167,Rosario Dawson
168,168,Randy Wayne
169,169,Billy Burke
170,170,Jason Lee
171,171,Jim Carrey
172,172,Aaron Paul
173,173,Paul Dano
174,174,Ed Helms
175,175,Mira Sorvino
176,176,Mark Ruffalo
177,177,Dominique Swain
178,178,Michael Ironside
179,179,Chase Williamson
180,180,Leslie Easterbrook
181,181,Miles Teller
182,182,Anton Yelchin
183,183,Liam Neeson
184,184,Matt Riddlehoover
185,185,Nick Cannon
186,186,DJ Perry
187,187,Corbin Bernsen
188,188,Kevin Hart
189,189,Lukas Haas
190,190,Jess Weixler
191,191,Joaquin Phoenix
192,192,Daniel Baldwin
193,193,Dane Cook
194,194,Michael Angarano
195,195,Matthew Montgomery
196,196,Marlon Wayans
197,197,Patrick John Flueger
198,198,Christopher Gorham
199,199,Robert Redford
200,200,Zoë Bell
201,201,Abigail Breslin
202,202,Billy Bob Thornton
203,203,Briana Evigan
204,204,Scott Adkins
205,205,Chris Pratt
206,206,Natalia Dyer
207,207,Jonah Hill
208,208,Eddie Murphy
209,209,Shiloh Fernandez
210,210,Joey Lauren Adams
211,211,Taraji P. Henson
212,212,Tim Allen
213,213,Martin Lawrence
214,214,Richard Riehle
215,215,Joey King
216,216,Ryan Kwanten
217,217,Vinnie Jones
218,218,Joseph Cross
219,219,Ray Liotta
220,220,Kane Hodder
221,221,Justin Timberlake
222,222,Bradley Cooper
223,223,Heather Graham
224,224,Mary Elizabeth Winstead
225,225,Amy Poehler
226,226,Brittany Snow
227,227,Jean-Claude Van Damme
228,228,Julianne Moore
229,229,Frank Langella
230,230,Ethan Hawke
231,231,Amber Tamblyn
232,232,Forest Whitaker
233,233,Brendan Fraser
234,234,Madeline Brewer
235,235,John Hawkes
236,236,Reggie Bannister
237,237,Haylie Duff
238,238,Zoe Lister-Jones
239,239,Harrison Ford
240,240,Carla Gugino
241,241,Dominic Purcell
242,242,Aaron Eckhart
243,243,Freddie Highmore
244,244,Jennifer Aniston
245,245,Melissa McCarthy
246,246,Helen Hunt
247,247,Lauren Ashley Carter
248,248,Adrian Paul
249,249,Jon Abrahams
250,250,Greg Kinnear
251,251,Parker Posey
252,252,Tobey Maguire
253,253,Julianne Nicholson
254,254,Christopher Plummer
255,255,Will Yun Lee
256,256,Gina Holden
257,257,Dakota Johnson
258,258,Addison Timlin
259,259,Hilary Swank
260,260,Debbie Rochon
261,261,Sylvester Stallone
262,262,Christopher Walken
263,263,Jason Crowe
264,264,Danny Glover
265,265,Maria Olsen
266,266,Adam Scott
267,267,Sarah Jessica Parker
268,268,Burt Reynolds
269,269,Gary Daniels
270,270,Ethan Embry
271,271,D.B. Sweeney
272,272,Christina Ricci
273,273,Melanie Stone
274,274,John Hennigan
275,275,Najarra Townsend
276,276,Jeffrey Arrington
277,277,Christina Hendricks
278,278,Thomas Downey
279,279,Saoirse Ronan
280,280,Tye Sheridan
281,281,Zach Galifianakis
282,282,KateLynn E. Newberry
283,283,John Cena
284,284,Emma Roberts
285,285,Shane West
286,286,J.K. Simmons
287,287,Ellie Church
288,288,Torrey DeVitto
289,289,Marc Blucas
290,290,Bailee Madison
291,291,Brian Austin Green
292,292,Columbus Short
293,293,Richard Speight Jr.
294,294,Lou Taylor Pucci
295,295,Lou Diamond Phillips
296,296,Zoey Deutch
297,297,Jason Biggs
298,298,Mircea Monroe
299,299,Jamie-Lynn Sigler
300,300,Colin Farrell
301,301,Marin Ireland
302,302,Annette Bening
303,303,Constance Wu
304,304,Alia Shawkat
305,305,Alan Cumming
306,306,Ed Harris
307,307,Ryan Phillippe
308,308,Jennifer Garner
309,309,Jaime King
310,310,Stephen Lang
311,311,Uma Thurman
312,312,Jason Mewes
313,313,Jesse James
314,314,William Sadler
315,315,Jon Voight
316,316,Paul Walker
317,317,Imogen Poots
318,318,Matthew Modine
319,319,Gary Cairns
320,320,Julianne Hough
321,321,Jasen Wade
322,322,Brad Pitt
323,323,Josh Brolin
324,324,Michael Keaton
325,325,Gugu Mbatha-Raw
326,326,Ernest Borgnine
327,327,Hugh Grant
328,328,Al Pacino
329,329,Jamie Bernadette
330,330,Kristen Wiig
331,331,Mena Suvari
332,332,Sam Worthington
333,333,Keke Palmer
334,334,Anna Camp
335,335,John Leguizamo
336,336,Toni Collette
337,337,Noël Wells
338,338,Christopher Abbott
339,339,Adam Pally
340,340,Amy Seimetz
341,341,Sarah Hyland
342,342,Nicholas D'Agosto
343,343,Michael B. Jordan
344,344,Paul Giamatti
345,345,Gillian Jacobs
346,346,Lucy Hale
347,347,Robert Englund
348,348,Melanie Lynskey
349,349,Neil Breen
350,350,Henry Ian Cusick
351,351,James McAvoy
352,352,David Dastmalchian
353,353,Chazz Palminteri
354,354,Elisabeth Harnois
355,355,Naomi Watts
356,356,Jessica Chastain
357,357,Kip Pardue
358,358,50 Cent
359,359,Katie Holmes
360,360,Emile Hirsch
361,361,Leonardo DiCaprio
362,362,Charisma Carpenter
363,363,Brie Larson
364,364,Catherine Keener
365,365,Rory Culkin
366,366,Linda Cardellini
367,367,Kate Bosworth
368,368,Bruce Dern
369,369,Kevin Bacon
370,370,Patton Oswalt
371,371,Mickey Rourke
372,372,Amy Smart
373,373,Domiziano Arcangeli
374,374,Katie Cassidy
375,375,Nicole Beharie
376,376,Asa Butterfield
377,377,Sophia Takal
378,378,Erin R. Ryan
379,379,John C. Reilly
380,380,James Le Gros
381,381,Sharon Stone
382,382,Kelly Sheridan
383,383,Jeff Fahey
384,384,Jay Baruchel
385,385,Antonio Banderas
386,386,Thomas Ian Nicholas
387,387,Matt Lanter
388,388,Aaron Stanford
389,389,Steve Hudgins
390,390,Vera Farmiga
391,391,Dylan Walsh
392,392,Alexis Beacher
393,393,Christopher Denham
394,394,John Gallagher Jr.
395,395,Edward Norton
396,396,Logan Paul
397,397,Zachary Laoutides
398,398,Craig Sheffer
399,399,Ryan Merriman
400,400,Elisabeth Röhm
401,401,Vanessa Williams
402,402,Tangi Miller
403,403,Sean Bean
404,404,Tamala Jones
405,405,Lindsay Lohan
406,406,Johnny Knoxville
407,407,Aaron Yoo
408,408,Chris Klein
409,409,Jessica Alba
410,410,Rachel Alig
411,411,Rider Strong
412,412,Diane Lane
413,413,Thomas Freeley
414,414,Pat Healy
415,415,Kevin Spacey
416,416,Brian Wimmer
417,417,Danielle Donahue
418,418,Taryn Manning
419,419,Alex Wolff
420,420,Keith David
421,421,Virginia Madsen
422,422,Sarah Butler
423,423,Casey Affleck
424,424,AnnaSophia Robb
425,425,Joel Courtney
426,426,Kay Panabaker
427,427,Catherine Annette
428,428,Tim Abell
429,429,Trevor Morgan
430,430,Kristina Anapau
431,431,Alex Pettyfer
432,432,Thomas Haden Church
433,433,Denise Richards
434,434,Nick Ferrucci
435,435,Charlie Hunnam
436,436,Jon Heder
437,437,Erin Cahill
438,438,Amandla Stenberg
439,439,D.C. Douglas
440,440,Ashton Sanders
441,441,Joshua Leonard
442,442,James Badge Dale
443,443,Graham Skipper
444,444,Andie MacDowell
445,445,Traci Lords
446,446,Rob Schneider
447,447,Fred Willard
448,448,Ryan O'Nan
449,449,Tammy Blanchard
450,450,Jeff Daniels
451,451,Matt O'Leary
452,452,Dina Meyer
453,453,Chloe Farnworth
454,454,Inbar Lavi
455,455,Ron Perlman
456,456,Lake Bell
457,457,Corey Feldman
458,458,Adam Rifkin
459,459,Martin Kove
460,460,Justin Kirk
461,461,James Remar
462,462,Robert Patrick
463,463,Sonny Carl Davis
464,464,Jason Segel
465,465,Tanna Frederick
466,466,Morris Chestnut
467,467,William Hurt
468,468,Lily Rabe
469,469,Ewan McGregor
470,470,Danny McBride
471,471,Chadwick Boseman
472,472,Annette O'Toole
473,473,David Ruprecht
474,474,Alicia Witt
475,475,Sally Kirkland
476,476,Cameron Deane Stewart
477,477,Scott Eastwood
478,478,Bill Hader
479,479,Jessica Cameron
480,480,Christian Keyes
481,481,Elizabeth Banks
482,482,Britt Robertson
483,483,Nicole Kidman
484,484,Chad Michael Murray
485,485,Rob Corddry
486,486,Leslie Bibb
487,487,Don Cheadle
488,488,Karen Gillan
489,489,Anna Faris
490,490,Daniel Radcliffe
491,491,James Marsden
492,492,Catherine Mary Stewart
493,493,Michelle Clunie
494,494,Sean Stone
495,495,Famke Janssen
496,496,Frank Welker
497,497,Carly Schroeder
498,498,Lindsay Burdge
499,499,Robin Williams
500,500,Brian Thompson
501,501,Trace Beaulieu
502,502,Jennifer Lopez
503,503,Van Hansis
504,504,Trieste Kelly Dunn
505,505,Charlie Sheen
506,506,Jon Hamm
507,507,Joshua Burge
508,508,Matthew Marsden
509,509,Jena Malone
510,510,Drake Bell
511,511,Haley Bennett
512,512,Beth Broderick
513,513,Louisa Krause
514,514,Marisa Tomei
515,515,Michael Pitt
516,516,Adrienne Barbeau
517,517,Missi Pyle
518,518,Jane Seymour
519,519,Jamie Kennedy
520,520,Bill Skarsgård
521,521,Christian Oliver
522,522,Jessica Morris
523,523,Tom Berenger
524,524,Adam Brody
525,525,Andrew Garfield
526,526,Donald Faison
527,527,Alex Karpovsky
528,528,Cory Knauf
529,529,Jake Hoffman
530,530,Steve Stanulis
531,531,David Oyelowo
532,532,Haley Lu Richardson
533,533,Matthew Reese
534,534,Charlize Theron
535,535,Amber Heard
536,536,Kevin Makely
537,537,Mike Stoklasa
538,538,Zach Gilford
539,539,Kurt Angle
540,540,Chloë Sevigny
541,541,Wesley Jonathan
542,542,Diana Angelson
543,543,Amy Adams
544,544,Andy Samberg
545,545,Skyler Gisondo
546,546,Anthony Mackie
547,547,Cate Blanchett
548,548,Stacey Dash
549,549,Nicholas Hoult
